idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
656250,2002-11-01,RODMR          ,"El Rodeo, Mor.                                                                                                                                        ","El Rodeo, Mor.                                    ",Morelos                                           ,Miacatlán                                                                                                                                             ,Balsas,18.7653,-99.3314,RI                                           ,R. Tembembe                   ,Libre,1974 ,1166.5,2.30005,1166.5,33.137,1164.2,26.984,8,1160.17,18.399,0.681849
656234,2002-11-01,GDLMX          ,"Sierra de Guadalupe, Méx.                                                                                                                             ","Guadalupe,Méx.                                    ",Estado de México                                  ,Cuautitlán Izcalli                                                                                                                                    ,Aguas del Valle de México,19.6356,-99.2522,RI                                           ,R. Cuautitlán                 ,Libre,1936 ,2308.75,1.92993,2306.82,64.08,2305.2,56.91,33,2304.72,54.887,0.964453
656235,2002-11-01,PMDMX          ,"Madín, Méx.                                                                                                                                           ","Madín, Méx.                                       ",Estado de México                                  ,Naucalpan de Juárez                                                                                                                                   ,Aguas del Valle de México,19.5269,-99.2608,AP                                           ,R. Tlanepantla                ,Contr,1959 ,2348.5,2.46,2346.04,17.964,2336.29,9.37,75,2336.46,16.159,1.72455
656236,2002-11-01,TXMHD          ,"Taxhimay, Méx.                                                                                                                                        ","Taxhimay, Méx.                                    ",Estado de México                                  ,Villa del Carbón                                                                                                                                      ,Aguas del Valle de México,19.8347,-99.3853,RI                                           ,R. San Luis de las P          ,Libre,1912 ,2217.05,7.05,2216.1,47.386,2214.1,39.914,43,2208.02,42.832,1.07311
656237,2002-11-01,ENDHD          ,"Endhó, Hgo.                                                                                                                                           ","Endhó, Hgo.                                       ",Hidalgo                                           ,Tepetitlán                                                                                                                                            ,Aguas del Valle de México,20.1639,-99.36,RI                                           ,R. Tula                       ,Libre,1951 ,2023,3,2020,208.65,2018,182.9,60,2018.26,186.183,1.01795
656238,2002-11-01,SJATL          ,"San José Atlanga, Tlax.                                                                                                                               ","Atlanga,Tlax.                                     ",Tlaxcala                                          ,Atlangatepec                                                                                                                                          ,Balsas,19.5561,-98.2006,RI                                           ,R. Zahuapán                   ,Libre,1959 ,2500,2.32988,2486.87,47.97,2486.4,42.63,24.2,2484.45,33.47,0.785128
656261,2002-11-01,LCRDR          ,"Lázaro Cárdenas, Dgo.                                                                                                                                 ","El Palmito, Dgo.                                  ",Durango                                           ,Indé                                                                                                                                                  ,Cuencas Centrales del Norte,25.5942,-105.016,RI                                           ,R. Nazas                      ,Contr,1946 ,1635,3,1632,4278.54,1622.46,2957.61,100,1590.95,734.384,0.248303
656262,2002-11-01,LNRDR          ,"Los Naranjos, Dgo.                                                                                                                                    ","Los Naranjos, Dgo.                                ",Durango                                           ,General Simón Bolívar                                                                                                                                 ,Cuencas Centrales del Norte,24.6131,-103.307,RI                                           ,R. Santa Clara                ,Libre,1985 ,1663,1.91003,1661.09,27.39,1658.4,20.928,48,1650.93,13.396,0.640099
656263,2002-11-01,LREZC          ,"Gobernador Leobardo Reynoso, Zac.                                                                                                                     ","Trujillo, Zac.                                    ",Zacatecas                                         ,Fresnillo                                                                                                                                             ,Cuencas Centrales del Norte,23.1794,-103.207,RI                                           ,R. San Francisco o Los Lazos  ,Libre,1946 ,2131.85,2.31997,2129.53,125.921,2127.35,95.717,40.34,2122.02,59.417,0.620757
656264,2002-11-01,VGRGR          ,"Vicente Guerrero, Gro.                                                                                                                                ","Palos Altos, Gro.                                 ",Guerrero                                          ,Arcelia                                                                                                                                               ,Balsas,18.3828,-100.266,AP/RI                                        ,R. Poliutla                   ,Libre,1968 ,433,2.70001,430.3,300,425,249.49,67.5,425.11,250.2,1.00285
656265,2002-11-01,SJUMC          ,"San Juanico, Mich.                                                                                                                                    ","La Laguna, Mich.                                  ",Michoacán de Ocampo                               ,Cotija                                                                                                                                                ,Balsas,19.8394,-102.651,RI                                           ,R. Cotija                     ,Libre,1950 ,1574.6,0,1604.56,71.69,1603.86,60.545,5.7,1602.09,41.084,0.67857
656266,2002-11-01,ZICMC          ,"Zicuirán, Mich.                                                                                                                                       ","La Peña, Mich.                                    ",Michoacán de Ocampo                               ,La Huacana                                                                                                                                            ,Balsas,18.9211,-101.932,RI                                           ,R. Zicuirán                   ,Libre,1957 ,302.75,1.31,301.44,47.485,299,36.294,46,299.09,50.428,1.38943
656267,2002-11-01,VILMC          ,"José María Morelos y Pavón, Mich.                                                                                                                     ","La Villita, Mich.                                 ",Michoacán de Ocampo                               ,Lázaro Cárdenas                                                                                                                                       ,Balsas,18.0483,-102.18,AP/GH/RI                                     ,R. Balsas                     ,Contr,1973 ,59.73,3,56.73,686.94,51.2,545.93,73,50.45,516.6,0.946275
656268,2002-11-01,SNJSL          ,"San José, S.L.P.                                                                                                                                      ","San José, S.L.P.                                  ",San Luis Potosí                                   ,San Luis Potosí                                                                                                                                       ,Cuencas Centrales del Norte,22.1503,-101.054,AP                                           ,R. Santiago                   ,Libre,1903 ,1955.5,0.359985,1933.7,5.656,1933.3,5.223,32,1933.5,5.238,1.00287
656269,2002-11-01,ELPSL          ,"Gonzalo N. Santos, S.L.P.                                                                                                                             ","El Peaje, S.L.P.                                  ",San Luis Potosí                                   ,San Luis Potosí                                                                                                                                       ,Cuencas Centrales del Norte,22.0922,-101.099,AP                                           ,A. Grande o Azul              ,Libre,1953 ,2049.6,1.73,2047.87,9.054,2044.85,6.685,39,2040.98,4.4,0.65819
656270,2002-11-01,CHLMC          ,"Constitución de Apatzingán, Jal.                                                                                                                      ","Chilatán, Jal.                                    ",Jalisco                                           ,Jilotlán de los Dolores                                                                                                                               ,Balsas,19.2878,-102.774,RI                                           ,R. Grande                     ,Libre,1990 ,440,2.32001,437.68,807.15,429.45,590.025,107,429.64,605.174,1.02568
