idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
1967779,2021-08-15,NEXPB,"Nexapa, Pue.","Nexapa, Pue.",Puebla,Tlaola,Golfo Centro,20.168333,-97.984722,GH,R. Nexapa,Libre,1912,1364,1,1362.35,15.313,1360,12.5,44,1360.18,12.749,1.01992
1967766,2021-08-15,VHGDR,"Villa Hidalgo, Dgo.","Villa Hidalgo, Dgo.",Durango,Hidalgo,Cuencas Centrales del Norte,26.2425,-104.928889,RI,A. Cerro Gordo,Libre,1977,1731.28,1.73,1729.55,39.555,1726.23,23.08,34.2,1724.63,17.204,0.745407279029463
1967767,2021-08-15,SNJSL,"San José, S.L.P.","San José, S.L.P.",San Luis Potosí,San Luis Potosí,Cuencas Centrales del Norte,22.150278,-101.054444,AP,R. Santiago,Libre,1903,1955.5,0.359985,1933.7,5.656,1933.3,5.223,32,1933.59,5.463,1.04595060310167
1967768,2021-08-15,ELPSL,"Gonzalo N. Santos, S.L.P.","El Peaje, S.L.P.",San Luis Potosí,San Luis Potosí,Cuencas Centrales del Norte,22.092222,-101.098611,AP,A. Grande o Azul,Libre,1953,2049.6,1.73,2047.87,9.054,2044.849976,6.685,39,2030.01,0.472,0.0706058339566193
1967769,2021-08-15,EPOSL,"El Potosino, S.L.P.","El Potosino, S.L.P.",San Luis Potosí,San Luis Potosí,Cuencas Centrales del Norte,22.099722,-101.078056,RI,A. El Potosino,Libre,1990,2000.85,0.150024,2000.84997558594,5.19899988174438,1996.80004882812,3.29299998283386,30.85,1996.15,3.034,0.921348319409654
1967770,2021-08-15,ELOSL,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.",San Luis Potosí,San Luis Potosí,Cuencas Centrales del Norte,22.094722,-100.9675,CA,R. Españita,Libre,1987,1963.7,1.54998,1962.1,2.161,1958.8,1.244,28,1955.43,0.574,0.461414790996785
1967771,2021-08-15,IVGSL,"Valentín Gama, S.L.P.","Ojo Caliente, S.L.P.",San Luis Potosí,Villa de Reyes,Cuencas Centrales del Norte,21.88,-100.820556,RI,R. Santa María,Libre,1970,1789.55,1.45002,1788.09997558594,22.3999996185303,1783.80004882812,9.51000022888184,24,1783.79,9.486,0.997476316687254
1967772,2021-08-15,ANGCP,"Doctor Belisario Domínguez, Chis.","La Angostura, Chis.",Chiapas,Acala,Frontera Sur,16.401389000000002,-92.778889,GH,R. Grijalva,Contr,1976,543,3.5,539.5,19736.4,533,13169.63,147,521.57,7130.89,0.541464718446912
1967773,2021-08-15,CHICP,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.",Chiapas,Osumacinta,Frontera Sur,16.941667,-93.100556,GH,R. Grijalva,Contr,1980,405,7,395,1318.6,392.5,205.98,261,390.75,170.968,0.830022332265268
1967774,2021-08-15,MALCP,"Nezahualcóyotl, Chis.","Malpaso, Chis.",Chiapas,Mezcalapa,Frontera Sur,17.178611,-93.598889,GH,R. Grijalva o Mezcalapa,Contr,1964,192,4,188,14056.32,182.5,9317.39,138,165.79,4712.19,0.505741414709484
