idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
883879,2006-01-01,ACHZC          ,"Achimec, Jal.                                                                                                                                         ",Vaqueros                                          ,Jalisco                                           ,Huejúcar                                                                                                                                              ,Lerma-Santiago-Pacífico,22.3272,-103.225,Riego                                        ,Río Tepetongo                 ,Libre,1969,1846.3,2.02998,1844.27,12.212,1841.5,7.364,28.5                ,1838.94,5.461,0.741581
883878,2006-01-01,ABRAG          ,"Abelardo L. Rodríguez., Ags.                                                                                                                          ",Abelardo L. Rodríguez                             ,Aguascalientes                                    ,Jesús María                                                                                                                                           ,Lerma-Santiago-Pacífico,21.9169,-102.428,Uso Público Urbano                           ,Río Morcinique                ,Libre,1934,1890.2,1.47,1890,18.84,1888.9,15.99,25                  ,1882.62,5.219,0.326391
883899,2006-01-01,CHICP          ,"Manuel Moreno Torres, Chis.                                                                                                                           ",Chicoasén                                         ,Chiapas                                           ,Osumacinta                                                                                                                                            ,Frontera Sur,16.9417,-93.1006,Generación de Energia                        ,Río Grijalva                  ,Contr,1980,405,7,395,1443.09,392.5,1384.86,265                 ,391.88,1370,0.98927
883900,2006-01-01,CHIZC          ,"El Chique, Zac.                                                                                                                                       ",El Chique                                         ,Zacatecas                                         ,Tabasco                                                                                                                                               ,Lerma-Santiago-Pacífico,21.9972,-102.896,Riego                                        ,Río Juchipila                 ,Libre,1958,1588.48,2.00002,1586.48,192.567,1580.18,138.909,61                  ,1576.32,112.928,0.812964
883901,2006-01-01,CHLJL          ,"Chila, Jal.                                                                                                                                           ",Chila                                             ,Jalisco                                           ,Zapotlán del Rey                                                                                                                                      ,Lerma-Santiago-Pacífico,20.4897,-102.944,Riego                                        ,Arroyo Chila                  ,Libre,1945,1525.88,1,99,1,98.7,0.762,10                  ,97.51,0.529,0.694226
883902,2006-01-01,CHLMC          ,"Constitución de Apatzingán, Jal.                                                                                                                      ",Chilatán                                          ,Jalisco                                           ,Jilotlán de los Dolores                                                                                                                               ,Balsas,19.2878,-102.774,Riego y Generación de Energia                ,Río Tepalcatepec              ,Libre,1990,440,2.32001,437.68,807.15,429.45,590.025,107                 ,418.96,397.998,0.674544
883903,2006-01-01,CHTSO          ,"Cuauhtémoc, Son.                                                                                                                                      ",Santa Teresa                                      ,Sonora                                            ,Tubutama                                                                                                                                              ,Noroeste,30.8733,-111.516, Riego                                       ,Atil                          ,Libre,1950,603,2.75,600.25,66.33,597,41.47,57.2                ,588.55,19.65,0.473836
883904,2006-01-01,CHUCH          ,"Chihuahua, Chih.                                                                                                                                      ",Chihuahua                                         ,Chihuahua                                         ,Chihuahua                                                                                                                                             ,Río Bravo,28.5706,-106.168,Uso Público Urbano                           ,Río Chuvíscar                 ,Libre,1960,1546,1.71997,1544.28,35.631,1540.82,23.383,58                  ,1535.08,12.336,0.527563
883905,2006-01-01,CHYVC          ,"Paso de Piedras, Ver.                                                                                                                                 ",Chicayán                                          ,Veracruz de Ignacio de la Llav                    ,Pánuco                                                                                                                                                ,Golfo Norte,21.7375,-98.1558,Riego                                        ,Chicayán                      ,Contr,1979,32.25,3.97,28.28,572.238,23.07,220,30                  ,24.32,288.492,1.31133
883906,2006-01-01,CILAAMSMX      ,Presa la Amistad parte Mexicana                                                                                                                       ,La Amistad                                        ,Coahuila de Zaragoza                              ,Acuña                                                                                                                                                 ,Río Bravo,29.4469,-101.057,                                             ,                              ,Contr,1968,351.22,0,349.03,2707.44,340.462,1769.66,                    ,338.56,561.673,0.31739
883907,2006-01-01,CILAFLCMX      ,Presa Falcón parte Mexicana                                                                                                                           ,Falcón                                            ,Tamaulipas                                        ,Guerrero                                                                                                                                              ,Río Bravo,26.5603,-99.1706,                                             ,                              ,Contr,1953,98.45,0,93.482,1607.96,91.805,1351.63,                    ,87.57,803.271,0.594296
883908,2006-01-01,CLNCH          ,"Ing. Andrew Weiss, Chih.                                                                                                                              ",La Colina                                         ,Chihuahua                                         ,San Francisco de Conchos                                                                                                                              ,Río Bravo,27.5764,-105.382,Riego y Generación de Energia                ,Rio Conchos                   ,Libre,1926,1251,1.15002,1249.85,26.97,1249.1,23.67,20.75               ,1249.28,24.436,1.03236
883909,2006-01-01,CNPMX          ,"La Concepción, Méx.                                                                                                                                   ",La Concepción                                     ,Estado de México                                  ,Tepotzotlán                                                                                                                                           ,Aguas del Valle de México,19.695,-99.3044,Riego                                        ,Río Tepotzotlán               ,Libre,1949,2355.64,3.09996,2352.54,13.7,2352.1,12.111,39                  ,2351.5,11.475,0.947486
883910,2006-01-01,CNSQT          ,"Constitución de 1917, Qro.                                                                                                                            ",Hidalgo                                           ,Querétaro                                         ,San Juan del Río                                                                                                                                      ,Golfo Norte,20.4186,-100.08,Riego                                        ,Arrollo Caracol               ,Contr,1969,1937,1.55005,1928.45,75.3,1927.65,69.862,35                  ,1917.44,13.264,0.18986
883911,2006-01-01,CNTCL          ,"El Centenario, Coah.                                                                                                                                  ",El Centenario                                     ,Coahuila de Zaragoza                              ,Jiménez                                                                                                                                               ,Río Bravo,29.2136,-100.95,Riego                                        ,Río San Diego                 ,Libre,1935,338,1.62,336.38,25.711,336.15,24.589,17                  ,336.12,25.1,1.02078
883912,2006-01-01,CNTQT          ,"El Centenario, Qro.                                                                                                                                   ",El Centenario                                     ,Querétaro                                         ,Tequisquiapan                                                                                                                                         ,Golfo Norte,20.5133,-99.8978,Riego                                        ,San Juan                      ,Mixto,1910,1898,0.51001,1882.5,14.178,1881.55,9.752,13                  ,1878.39,2.1,0.21534
883913,2006-01-01,COIMC          ,"Coíntzio, Mich.                                                                                                                                       ",Cointzio                                          ,Michoacán de Ocampo                               ,Morelia                                                                                                                                               ,Lerma-Santiago-Pacífico,19.6297,-101.259,Riego y Uso Público Urbano                   ,Río Grande de Morelia         ,Contr,1939,1997,1.50005,2001.32,79.233,1999.47,68.52,46                  ,1993.29,82.824,1.20876
